model,raw_pi,cor_pi,raw_kup,cor_kup,raw_qs,cor_qs,width,w_gjr,green,n
TimesFM-2.5,0.9901656624030178,0.012670305325557329,0,3,333.96688878860846,9.471257627054708,0.068591301466008,1.751696970654715,19,24
Moirai-2.0,0.9878476437625091,0.014632321527708813,0,4,304.89183002221876,9.14907911598704,0.06266812555493022,1.6004298408827013,19,24
Lag-Llama,0.02937986348482181,0.009485619044985521,0,22,5.911160780031792,5.242727440161708,0.041101493688591555,1.0496573245423788,24,24
GJR-GARCH,0.004156350691120246,0.011214464774859668,7,16,5.041208684321543,4.8550064597975,0.0391570589063537,1.0,19,24
GARCH-N,0.019253652973664492,0.010407515015925751,8,18,4.887414637484125,4.737355742346083,0.036463294302277204,0.9312061559444802,21,24
Hist-Sim,0.015818797088326914,0.010766466372430663,11,21,5.664289185394458,5.567002850185625,0.03918246881027749,1.0006489226881048,22,24
EWMA,0.020750876026377915,0.011429688224235166,5,16,5.06983681268175,4.852252043756791,0.03656431615752046,0.9337860702195757,20,24
Chronos-Small,0.38837474016134527,0.010823411682535538,0,14,37.899531710023034,5.832977511430041,0.040482260259781695,1.0338432300698908,19,24
Chronos-Mini,0.4188408561087112,0.010292238394798547,0,11,41.14707349240442,5.737443351480333,0.04088408506805715,1.0441051041610079,19,24
