date,log_return
2000-01-04,-0.024564607848441413
2000-01-05,-0.012969887864925188
2000-01-06,-0.004184320476146692
2000-01-07,0.04618243885757803
2000-01-10,0.021094463238451565
2000-01-11,-0.004960651405406891
2000-01-12,0.0031237296901911456
2000-01-13,0.0062254978524785435
2000-01-14,0.03075295873054224
2000-01-17,0.011873611557328344
2000-01-18,-0.026067978664773794
2000-01-19,0.002671710680459851
2000-01-20,0.0030442960056418483
2000-01-21,-0.017002418726693013
2000-01-24,-0.008726934969088551
2000-01-25,-0.01780768767263052
2000-01-26,0.023185574722220197
2000-01-27,0.022243443498654793
2000-01-28,-0.008388820803584081
2000-01-31,-0.033235208745467544
2000-02-01,0.030948593305099713
2000-02-02,0.01708475401322794
2000-02-03,0.02510209389835491
2000-02-04,0.012210556954922468
2000-02-07,-0.020120174881062915
2000-02-08,0.034161566205538285
2000-02-09,0.010439522175977132
2000-02-10,0.010452327646105894
2000-02-11,-0.012756698552197819
2000-02-14,0.004358847757939087
2000-02-15,-0.03306877800628664
2000-02-16,0.01265462218556471
2000-02-17,0.011971592932518692
2000-02-18,-0.0008908357606230884
2000-02-21,0.0022091354353313748
2000-02-22,0.0022910416875559763
2000-02-23,0.01189415050888752
2000-02-24,-0.007619637202778124
2000-02-25,0.012764208755446042
2000-02-28,-0.019777777800683745
2000-02-29,0.00753957476216063
2000-03-01,0.010848111546371232
2000-03-02,0.027798652405820974
2000-03-03,0.0017930276528647438
2000-03-06,0.0019766808907692745
2000-03-07,0.01112059583870533
2000-03-08,-0.009714798497313867
2000-03-09,-0.004750227509286013
2000-03-10,0.003365795895181344
2000-03-13,-0.03600946719926372
2000-03-14,-0.005709162887964984
2000-03-15,-0.03128001591835143
2000-03-16,0.022603343210968022
2000-03-17,0.01660201034947264
2000-03-20,0.02072292018069032
2000-03-21,-0.00822050963685942
2000-03-22,-0.001193096427252548
2000-03-23,-0.013404661024661669
2000-03-24,0.030416000514639236
2000-03-27,-0.005046445363063048
2000-03-28,0.004984703647721172
2000-03-29,-0.008504416462832537
2000-03-30,-0.02835452263241012
2000-03-31,-0.005969469768095274
2000-04-03,-0.022647096577808275
2000-04-04,0.012517480796970112
2000-04-05,-0.025857822328353725
2000-04-06,0.015624612074223606
2000-04-07,0.01015350146379226
2000-04-10,-0.0006981777662829631
2000-04-11,-0.009932163743371872
2000-04-12,5.504170361704886e-05
2000-04-13,0.0008044832734079313
2000-04-14,-0.031949217047003535
2000-04-17,-0.003845303817828896
2000-04-18,0.0013001027879657664
2000-04-19,0.002805725245303089
2000-04-20,-0.008175510554376672
2000-04-25,0.016977228093665718
2000-04-26,0.014730595669832746
2000-04-27,-0.022835524624062076
2000-04-28,0.026365889046937194
2000-05-02,0.018869509030634814
2000-05-03,-0.023973764897639794
2000-05-04,0.0013248475980393265
2000-05-05,0.01932147595211019
2000-05-08,-0.016431285077304843
2000-05-09,-0.017367584559140503
2000-05-10,-0.022176555200328456
2000-05-11,0.019279712789805576
2000-05-12,0.0013490217102874803
2000-05-15,-0.010250045586486805
2000-05-16,0.02415435577083648
2000-05-17,-0.021883201916924205
2000-05-18,-0.004158902774141743
2000-05-19,-0.027177679235038388
2000-05-22,-0.010943841109363674
2000-05-23,0.0021285107468121986
2000-05-24,-0.013487519659874946
2000-05-25,0.020848133159986158
2000-05-26,-0.005825906526923914
2000-05-29,0.0112262207936383
2000-05-30,0.014516410907496318
2000-05-31,-0.0013479362696453834
2000-06-01,0.022680011391623206
2000-06-02,0.02259390646952053
2000-06-05,-0.004166536347736817
2000-06-06,-0.0065304678399739045
2000-06-07,-0.009120492956214867
2000-06-08,-0.006858821727630838
2000-06-09,0.0015726544772598416
2000-06-12,-0.0026072377673746964
2000-06-13,0.00458753662924939
2000-06-14,0.011221817656845117
2000-06-15,-0.003040941462761264
2000-06-16,-0.02727969187641365
2000-06-19,0.009406763439915576
2000-06-20,0.003947055872139755
2000-06-21,-0.017753936189288347
2000-06-22,-0.006559400340426355
2000-06-23,-0.01044036098779262
2000-06-26,0.006679225383625595
2000-06-27,0.0030931805983623988
2000-06-28,0.0010052944967639825
2000-06-29,-0.02606063926162549
2000-06-30,0.0034372140899824205
2000-07-03,0.008768080285240981
2000-07-04,-0.002100232636171127
2000-07-05,0.0024982042280202264
2000-07-06,-0.0015295445391475526
2000-07-07,0.014444032003970314
2000-07-10,0.002633940012443541
2000-07-11,-0.009497875229951082
2000-07-12,0.008811777530001038
2000-07-13,0.018233625346820912
2000-07-14,0.016865016995425756
2000-07-17,0.01523111723583653
2000-07-18,-0.00320672384367157
2000-07-19,-0.005461195648677995
2000-07-20,0.015299352930804797
2000-07-21,-0.01439161626738669
2000-07-24,-0.00611497243290669
2000-07-25,9.960606310000834e-05
2000-07-26,-0.003679811028574183
2000-07-27,-0.01638636419801839
2000-07-28,-0.0077056193772033765
2000-07-31,0.008669897643020334
2000-08-01,-0.006255690757770239
2000-08-02,-0.004640159299187194
2000-08-03,-0.010535523716374435
2000-08-04,-0.0030339505288978666
2000-08-07,0.013677731994791407
2000-08-08,0.0014876481259981954
2000-08-09,0.014341175903096668
2000-08-10,0.007480245808487704
2000-08-11,0.005753221688446442
2000-08-14,0.0011859638384674861
2000-08-15,-0.0033116473123578054
2000-08-16,0.001072284105735399
2000-08-17,-0.005048743157705329
2000-08-18,-0.006341517938341293
2000-08-21,-0.004584352372439957
2000-08-22,0.006901811442867982
2000-08-23,-0.0022677033410066043
2000-08-24,-0.00034847717146916344
2000-08-25,0.010581082828163656
2000-08-28,0.004376552014212287
2000-08-29,-0.006125682133885381
2000-08-30,-0.015033452287917333
2000-08-31,0.00428970449861479
2000-09-01,0.017611700156855464
2000-09-04,0.01364301998738247
2000-09-05,-0.006804351240926099
2000-09-06,-0.008426099035101556
2000-09-07,0.005483331785427753
2000-09-08,-0.01442126380258534
2000-09-11,-0.007363520834604394
2000-09-12,-0.010968625284617868
2000-09-13,-0.018313359349586205
2000-09-14,0.006010826546700117
2000-09-15,-0.006970390037798413
2000-09-18,-0.015528108725658362
2000-09-19,0.006659777385996497
2000-09-20,-0.025179850171769297
2000-09-21,-0.012241250584432727
2000-09-22,0.008542010129274528
2000-09-25,0.0071609673209690385
2000-09-26,-0.003489803379581659
2000-09-27,0.00721995303375864
2000-09-28,0.0027405240159612443
2000-09-29,-0.005082536608554099
2000-10-02,0.009390678785285924
2000-10-04,-0.005674495652371422
2000-10-05,0.010070143326864688
2000-10-06,-0.01698791511728906
2000-10-09,-0.014209816909035269
2000-10-10,-0.001142717360553757
2000-10-11,-0.016852967838618258
2000-10-12,-0.014795838126920095
2000-10-13,0.02987143966453963
2000-10-16,-0.005124694523830631
2000-10-17,-0.014521165528546284
2000-10-18,-0.0074854051336756015
2000-10-19,0.02082592388531816
2000-10-20,-0.00015108181765706408
2000-10-23,0.0003685906928433878
2000-10-24,0.02710897177779448
2000-10-25,-0.008056972489259668
2000-10-26,0.0029120341098268126
2000-10-27,0.02290103465245592
2000-10-30,0.0002728487969276978
2000-10-31,0.02154753631816411
2000-11-01,-0.0025989622378231594
2000-11-02,0.004180232085867592
2000-11-03,0.005575049011657475
2000-11-06,0.001125836404932053
2000-11-07,-0.008446091851624728
2000-11-08,-0.00960462235990677
2000-11-09,-0.007036060487056838
2000-11-10,-0.015612304063661243
2000-11-13,-0.016123865041293588
2000-11-14,0.032763000357255836
2000-11-15,-0.0007984151040260373
2000-11-16,-0.017239905218956
2000-11-17,-0.01321443122127494
2000-11-20,-0.021376733263158684
2000-11-21,0.01032401819445129
2000-11-22,-0.02540658923563859
2000-11-23,0.013798744617617566
2000-11-24,0.00952578897447014
2000-11-27,0.004899307634944826
2000-11-28,-0.010711343870599578
2000-11-29,-0.004119860910111824
2000-11-30,-0.03484985249129367
2000-12-01,0.02182119289874348
2000-12-04,-0.01622355456585843
2000-12-05,0.03511076049650317
2000-12-06,-0.0022383995162721243
2000-12-07,-0.008518176475643008
2000-12-08,0.01888368784393719
2000-12-11,0.01354801446599778
2000-12-12,-0.007240306571585924
2000-12-13,-0.016981325020194657
2000-12-14,-0.022958674904357185
2000-12-15,-0.021662855225712048
2000-12-18,0.00926783578520512
2000-12-19,0.013835968666383829
2000-12-20,-0.036226353364206494
2000-12-21,-0.007719211233059404
2000-12-22,0.008141627718630166
2000-12-27,0.01220411624443573
2000-12-28,0.006847375447032099
2000-12-29,0.009678875514652725
2001-01-02,-0.02260336474488733
2001-01-03,0.022813193448410058
2001-01-04,-0.009119982327289012
2001-01-05,0.0009044733468053334
2001-01-08,0.0015436816612950965
2001-01-09,0.001930202505050326
2001-01-10,-0.01327373790444599
2001-01-11,0.022705232019312682
2001-01-12,0.0038316318448749867
2001-01-15,0.005047361002896468
2001-01-16,-0.0030677666023178982
2001-01-17,0.022878264107057456
2001-01-18,-0.0026518086165328966
2001-01-19,0.0023737011036908486
2001-01-22,0.0035223331937176616
2001-01-23,0.007077540151569028
2001-01-24,-0.0023442025055356343
2001-01-25,0.0030996100876046085
2001-01-26,-0.004811271111405712
2001-01-29,0.008293830299279511
2001-01-30,-0.0017286782250716718
2001-01-31,0.008251637913026764
2001-02-01,-0.013401854661273156
2001-02-02,-0.009964944411006127
2001-02-05,-0.0015272375804032269
2001-02-06,0.009753020060671873
2001-02-07,-0.01718998210724085
2001-02-08,0.008754762994194825
2001-02-09,-0.02128015620235792
2001-02-12,0.010387543409992608
2001-02-13,-0.001063791214460621
2001-02-14,-0.011974564664495316
2001-02-15,0.017106252302998785
2001-02-16,-0.023393128538549506
2001-02-19,0.005104030376519424
2001-02-20,-0.0031941358658674496
2001-02-21,-0.016185220509753757
2001-02-22,-0.011088361397418084
2001-02-23,-0.032811973867354446
2001-02-26,0.01854687566080094
2001-02-27,0.0050622663710025665
2001-02-28,-0.001969591372074699
2001-03-01,-0.013763267166143556
2001-03-02,0.005803464637635914
2001-03-05,0.009270047755355932
2001-03-06,0.010828552823986152
2001-03-07,0.0034282149575417344
2001-03-08,-0.006137138183062464
2001-03-09,-0.01004542581479344
2001-03-12,-0.02577240370983384
2001-03-13,-0.013927524486842858
2001-03-14,-0.028718370055189225
2001-03-15,0.016403911385054745
2001-03-16,-0.026748681962578777
2001-03-19,-0.013553873988153975
2001-03-20,0.021832356447163106
2001-03-21,-0.02807388921791006
2001-03-22,-0.04252547898328038
2001-03-23,0.028659117747751088
2001-03-26,0.03234954070129345
2001-03-27,0.036221102013274824
2001-03-28,-0.020533677132379934
2001-03-29,0.010563616535795886
2001-03-30,-0.008429216486524551
2001-04-02,-0.011939087734261363
2001-04-03,-0.0366482198633958
