model,raw_fz,corr_fz,improvement_pct,n_assets
Chronos-Small,34341151.7681598,-2.962891780533798,100.00000862781715,24
Chronos-Mini,47619117.147330634,-2.980915117270468,100.00000625991261,24
TimesFM-2.5,-2.887729616302226,-3.1972701264054675,10.719165269344437,24
Moirai-2.0,-2.9577754808298367,-2.9983301716334605,1.3711213398876974,24
Lag-Llama,-2.4586922406620384,-3.0984571967346355,26.02053829642099,24
GJR-GARCH,-3.181679016672413,-3.249953921643568,2.145876583193503,24
GARCH-N,-3.171832888763317,-3.2611672739732653,2.816490916858469,24
Hist-Sim,-2.9291566422890214,-3.0639688392442075,4.602423612614846,24
EWMA,-3.104302831302484,-3.234149304442307,4.182790152768145,24
