model,symbol,pi_hat,kupiec_p,kupiec_rej,qs,width,traffic_light,gamma
Chronos-Small,SP500,0.014270032930845226,0.08515865134500755,False,5.884055784149646,0.041751452601621046,Green,0.001
Chronos-Small,STOXX,0.012016021361815754,0.44719083176527896,False,4.0425691872229885,0.030104399129313914,Green,0.001
Chronos-Small,GDAXI,0.012479652740097666,0.3029597681205556,False,5.399589581134604,0.03803270719466545,Green,0.001
Chronos-Small,CACT,0.01293103448275862,0.2246705574680693,False,5.585351027022161,0.03871987047069565,Green,0.001
Chronos-Small,FTSE100,0.010911074740861976,0.6992379726087683,False,4.753500851156691,0.03172412448978016,Green,0.001
Chronos-Small,ICLN,0.010126582278481013,0.9651411414098513,False,5.539278078020473,0.04347913789626917,Green,0.001
Chronos-Small,NIKKEI,0.012415349887133182,0.32473380983980304,False,5.496593047925548,0.03785980167484393,Green,0.001
Chronos-Small,HSI,0.011771300448430493,0.4645172052755361,False,5.930716687501059,0.04145015070457704,Green,0.001
Chronos-Small,BOVESPA,0.012263099219620958,0.3521456148267904,False,6.662189490713893,0.04753067007929596,Green,0.001
Chronos-Small,NIFTY,0.012417218543046357,0.41581755547378607,False,3.2569078687631006,0.022394687038741805,Green,0.001
Chronos-Small,ASX200,0.012002182214948172,0.40359923697929645,False,4.291152731318804,0.030317419071247298,Green,0.001
Chronos-Small,CBU0,0.010245901639344262,0.938703827723006,False,1.4826097601566728,0.01234228476713195,Green,0.001
Chronos-Small,TLT,0.010423053341508276,0.8645888499674934,False,3.555723785053417,0.026381273205704568,Green,0.001
Chronos-Small,IBGL,0.012234910277324634,0.44731818608566865,False,2.3268359401351506,0.019708572085643923,Green,0.005
Chronos-Small,DJCI,0.015873015873015872,0.1523089390947161,False,4.093286677800119,0.028083895575580272,Green,0.001
Chronos-Small,GOLD,0.014124293785310734,0.10059953092198659,False,4.588415413631025,0.031075128870817384,Green,0.001
Chronos-Small,WTI,0.011286681715575621,0.5937683130143729,False,14.807198540044318,0.09132043401393174,Green,0.001
Chronos-Small,NATGAS,0.011857707509881422,0.44526263966764146,False,16.66426639411437,0.12018570742003665,Green,0.001
Chronos-Small,BTC,0.013550135501355014,0.2600570085382622,False,8.832993882989609,0.06318881200264355,Green,0.001
Chronos-Small,ETH,0.01706036745406824,0.07514229653849303,False,13.989066496918024,0.10352201498014356,Yellow,0.001
Chronos-Small,EURUSD,0.011378002528445006,0.5898872140862619,False,1.6332276533806938,0.011862148849895488,Green,0.001
Chronos-Small,GBPUSD,0.011356466876971609,0.5952442973867016,False,1.9652264016121008,0.013740271146958773,Green,0.001
Chronos-Small,USDJPY,0.013241525423728813,0.17746885569963744,False,2.375932068100346,0.01805112223223481,Green,0.001
Chronos-Small,AUDUSD,0.010752688172043012,0.7801371761149006,False,2.260793711544451,0.01586096280894787,Green,0.001
Chronos-Mini,SP500,0.013713658804168952,0.13140823071265018,False,5.293234657080665,0.03853308922698892,Green,0.001
Chronos-Mini,STOXX,0.010680907877169559,0.7933427550123541,False,4.105831903204289,0.029120220335513314,Green,0.001
Chronos-Mini,GDAXI,0.011937059142702116,0.417356215361922,False,5.273628280357815,0.036499153571495115,Green,0.001
Chronos-Mini,CACT,0.013469827586206896,0.1536179050951606,False,5.6192854378491655,0.039431337356753776,Green,0.001
Chronos-Mini,FTSE100,0.011456628477905073,0.5401659942376766,False,4.902214254588541,0.03347758426665888,Green,0.001
Chronos-Mini,ICLN,0.010970464135021098,0.7409580122678089,False,5.592432411670728,0.04363737491624606,Green,0.001
Chronos-Mini,NIKKEI,0.012415349887133182,0.32473380983980304,False,5.493403897720218,0.03838244170998034,Green,0.001
Chronos-Mini,HSI,0.011210762331838564,0.6141271416648839,False,5.654088285711917,0.03940693130889086,Green,0.001
Chronos-Mini,BOVESPA,0.011148272017837236,0.631251885167142,False,6.34427446780542,0.04415426811087139,Green,0.001
Chronos-Mini,NIFTY,0.011589403973509934,0.5881415432867518,False,3.312952586624704,0.023314038334396773,Green,0.005
Chronos-Mini,ASX200,0.01309328968903437,0.20386830864997318,False,4.4771981084922485,0.03347255696408632,Green,0.001
Chronos-Mini,CBU0,0.010245901639344262,0.938703827723006,False,1.4982794645919748,0.01247676670402585,Green,0.001
Chronos-Mini,TLT,0.010423053341508276,0.8645888499674934,False,3.9237959929596635,0.029196266767156264,Green,0.001
Chronos-Mini,IBGL,0.012234910277324634,0.44731818608566865,False,2.4513116942001067,0.020885742351041337,Green,0.001
Chronos-Mini,DJCI,0.015873015873015872,0.1523089390947161,False,4.078847947165576,0.028000585235056767,Green,0.001
Chronos-Mini,GOLD,0.013559322033898305,0.1533952407231467,False,4.557857292308548,0.03064289976055043,Green,0.001
Chronos-Mini,WTI,0.010163749294184076,0.9449320315273775,False,14.758544415695235,0.08984196891325505,Green,0.001
Chronos-Mini,NATGAS,0.01129305477131564,0.5920815997022498,False,16.601106584831083,0.11335841723426227,Green,0.001
Chronos-Mini,BTC,0.013550135501355014,0.2600570085382622,False,8.988220281000341,0.06320405030747894,Green,0.001
Chronos-Mini,ETH,0.01706036745406824,0.07514229653849303,False,14.026125181824252,0.10096868754828534,Yellow,0.001
Chronos-Mini,EURUSD,0.011378002528445006,0.5898872140862619,False,1.6299415016690535,0.011825486870899364,Green,0.001
Chronos-Mini,GBPUSD,0.012618296529968454,0.3140666870110007,False,1.9563705641836961,0.013844173101667544,Green,0.001
Chronos-Mini,USDJPY,0.013241525423728813,0.17746885569963744,False,2.3634591635412368,0.018007960010867838,Green,0.001
Chronos-Mini,AUDUSD,0.010752688172043012,0.7801371761149006,False,2.2325218506107825,0.015820224875647812,Green,0.001
TimesFM-2.5,SP500,0.013706140350877192,0.13204636054365415,False,4.884051770667304,0.03619973889058971,Green,0.001
TimesFM-2.5,STOXX,0.014686248331108143,0.0883793753191432,False,3.9568513189632792,0.030030466316656967,Green,0.001
TimesFM-2.5,GDAXI,0.013564839934888768,0.14458324912751985,False,5.028450621488485,0.036490814051662296,Green,0.001
TimesFM-2.5,CACT,0.013469827586206896,0.1536179050951606,False,4.951239538406466,0.035981603945592536,Green,0.001
TimesFM-2.5,FTSE100,0.01309328968903437,0.20386830864997318,False,4.4807722350837285,0.030612176651406392,Green,0.001
TimesFM-2.5,ICLN,0.012658227848101266,0.37709967670186806,False,5.408492480327728,0.04248462025565968,Green,0.001
TimesFM-2.5,NIKKEI,0.012415349887133182,0.32473380983980304,False,4.962095324556295,0.03610111944746157,Green,0.001
TimesFM-2.5,HSI,0.01233183856502242,0.3395375912110068,False,5.786496138346674,0.04144836293762349,Green,0.001
TimesFM-2.5,BOVESPA,0.013935340022296544,0.11382824080797971,False,5.618977087409373,0.04058696537551693,Green,0.001
TimesFM-2.5,NIFTY,0.013245033112582781,0.28021145407544146,False,3.3356917052637223,0.024184100336956928,Green,0.001
TimesFM-2.5,ASX200,0.01309328968903437,0.20386830864997318,False,3.9964582579774053,0.02926242589121459,Green,0.001
TimesFM-2.5,CBU0,0.011270491803278689,0.6958216272322967,False,1.4639497098919296,0.012030351948404943,Green,0.001
TimesFM-2.5,TLT,0.011649294911097487,0.5141631712685395,False,3.195964695240225,0.025071422253953476,Green,0.001
TimesFM-2.5,IBGL,0.013866231647634585,0.19866475632968594,False,2.6372137202080594,0.021329652120225112,Green,0.001
TimesFM-2.5,DJCI,0.01443001443001443,0.27167627399769556,False,3.3405800236967083,0.026583307644797306,Green,0.001
TimesFM-2.5,GOLD,0.012994350282485875,0.22616681355267754,False,4.450606198999839,0.030850185646009727,Green,0.001
TimesFM-2.5,WTI,0.012415349887133182,0.32473380983980304,False,12.392642357590969,0.0802690100267614,Green,0.001
TimesFM-2.5,NATGAS,0.011857707509881422,0.44526263966764146,False,15.680581118972887,0.1108033581560546,Green,0.001
TimesFM-2.5,BTC,0.014453477868112014,0.16265044664620232,False,8.762868151903435,0.06160270586806264,Green,0.001
TimesFM-2.5,ETH,0.011811023622047244,0.625223643075066,False,13.457598533226934,0.0967970567389104,Green,0.001
TimesFM-2.5,EURUSD,0.012010113780025285,0.43603539706156913,False,1.644413889303677,0.012435588443673885,Green,0.001
TimesFM-2.5,GBPUSD,0.013249211356466877,0.21555135242363277,False,2.062920202822439,0.014976548961009566,Green,0.001
TimesFM-2.5,USDJPY,0.012711864406779662,0.25574042597286895,False,2.283827389015831,0.017103122989827628,Green,0.001
TimesFM-2.5,AUDUSD,0.012186379928315413,0.42746860716224266,False,2.261301400199462,0.016079241667053826,Green,0.001
Moirai-2.0,SP500,0.013157894736842105,0.19607628987637782,False,4.923790660760684,0.03651203102066827,Green,0.001
Moirai-2.0,STOXX,0.012016021361815754,0.44719083176527896,False,3.994045597644965,0.030740885343372795,Green,0.001
Moirai-2.0,GDAXI,0.013022246337493217,0.21275554177591294,False,4.734196127482903,0.03423008547411591,Green,0.001
Moirai-2.0,CACT,0.011314655172413793,0.5771790098665075,False,5.053002397686875,0.03682454710462276,Green,0.001
Moirai-2.0,FTSE100,0.011456628477905073,0.5401659942376766,False,4.1845148073553835,0.02926115894005703,Green,0.001
Moirai-2.0,ICLN,0.012658227848101266,0.37709967670186806,False,5.919550081340708,0.04571415096704731,Green,0.001
Moirai-2.0,NIKKEI,0.012415349887133182,0.32473380983980304,False,4.87009860069488,0.03869426414080748,Green,0.001
Moirai-2.0,HSI,0.010089686098654708,0.9696750750539642,False,5.736926118295847,0.04047584397707803,Green,0.001
Moirai-2.0,BOVESPA,0.01282051282051282,0.24993764678860186,False,6.387164998117999,0.04523015322839743,Green,0.001
Moirai-2.0,NIFTY,0.01076158940397351,0.7927100590327836,False,3.2237690161183403,0.023018890271858446,Green,0.005
Moirai-2.0,ASX200,0.01309328968903437,0.20386830864997318,False,3.86021122176534,0.031254328999137986,Green,0.005
Moirai-2.0,CBU0,0.011270491803278689,0.6958216272322967,False,1.660090684517159,0.013435703801358948,Green,0.001
Moirai-2.0,TLT,0.011036174126302882,0.6791097305362034,False,3.6094138542237424,0.026210967877810524,Green,0.001
Moirai-2.0,IBGL,0.013050570962479609,0.30517715374895826,False,2.8594132832610843,0.02413014623200961,Green,0.005
Moirai-2.0,DJCI,0.015873015873015872,0.1523089390947161,False,3.2709350040525957,0.025503507533979026,Green,0.001
Moirai-2.0,GOLD,0.013559322033898305,0.1533952407231467,False,4.89381164730934,0.03597465408928831,Green,0.001
Moirai-2.0,WTI,0.011851015801354402,0.44673078787807863,False,12.697828673877282,0.08934089005765905,Green,0.001
Moirai-2.0,NATGAS,0.012987012987012988,0.22712813646854635,False,16.875709210701576,0.12527300852575485,Green,0.001
Moirai-2.0,BTC,0.015356820234869015,0.09681264281599422,False,9.570666836786438,0.0711543656179286,Green,0.001
Moirai-2.0,ETH,0.011811023622047244,0.625223643075066,False,12.374371740772583,0.09614727738909461,Green,0.001
Moirai-2.0,EURUSD,0.010745891276864728,0.7682928701632186,False,1.713992604536928,0.013383180411256782,Green,0.001
Moirai-2.0,GBPUSD,0.011987381703470032,0.44065814911940526,False,2.065246923110318,0.01570677295912028,Green,0.001
Moirai-2.0,USDJPY,0.011122881355932203,0.6300336726633624,False,2.2342541630091777,0.016204442084427693,Green,0.001
Moirai-2.0,AUDUSD,0.010752688172043012,0.7801371761149006,False,2.331636719292164,0.0179333669712447,Green,0.001
Lag-Llama,SP500,0.013157894736842105,0.19607628987637782,False,4.616026851363529,0.0359055398955325,Green,0.001
Lag-Llama,STOXX,0.01335113484646195,0.21496590181682496,False,3.50947607582621,0.02918478190961202,Green,0.001
Lag-Llama,GDAXI,0.013022246337493217,0.21275554177591294,False,5.093128252189395,0.036757354019719725,Green,0.001
Lag-Llama,CACT,0.011853448275862068,0.4355689355879907,False,4.973443948846358,0.03554457146748324,Green,0.001
Lag-Llama,FTSE100,0.011456628477905073,0.5401659942376766,False,4.034196308186182,0.028823270823590468,Green,0.001
Lag-Llama,ICLN,0.01181434599156118,0.5417165473512384,False,5.790541605732004,0.04392001128168312,Green,0.001
Lag-Llama,NIKKEI,0.012979683972911963,0.22809199530322133,False,4.773059505180669,0.03822500398151401,Green,0.001
Lag-Llama,HSI,0.011210762331838564,0.6141271416648839,False,5.722222318081688,0.04102586216229462,Green,0.001
Lag-Llama,BOVESPA,0.01282051282051282,0.24993764678860186,False,5.008899400952762,0.03751659878511083,Green,0.001
Lag-Llama,NIFTY,0.014072847682119206,0.18010204874931868,False,3.260144196913742,0.02683582051203981,Green,0.001
Lag-Llama,ASX200,0.012002182214948172,0.40359923697929645,False,3.888132939607565,0.030464301408278816,Green,0.001
Lag-Llama,CBU0,0.010245901639344262,0.938703827723006,False,1.6411884867888584,0.01402710779331652,Green,0.001
Lag-Llama,TLT,0.011649294911097487,0.5141631712685395,False,3.21305885440883,0.027549073471135173,Green,0.001
Lag-Llama,IBGL,0.010603588907014683,0.8333996385166496,False,2.879397929353508,0.024125311041079997,Green,0.001
Lag-Llama,DJCI,0.017316017316017316,0.07952006629122066,False,4.054746402050905,0.02961997768652976,Yellow,0.001
Lag-Llama,GOLD,0.014689265536723164,0.06382723343489938,False,4.835273640089477,0.03582317522070827,Green,0.001
Lag-Llama,WTI,0.011851015801354402,0.44673078787807863,False,12.221576716208235,0.08267058533230906,Green,0.001
Lag-Llama,NATGAS,0.011857707509881422,0.44526263966764146,False,15.561100059574834,0.12148029555568067,Green,0.001
Lag-Llama,BTC,0.011743450767841012,0.570481979039452,False,9.714360749566932,0.06854920190565873,Green,0.001
Lag-Llama,ETH,0.014435695538057743,0.24848833378519108,False,14.353991369773043,0.10363946535892447,Green,0.001
Lag-Llama,EURUSD,0.012010113780025285,0.43603539706156913,False,1.8587597558319602,0.014501709438943721,Green,0.005
