n_test,viol,pi_hat,kupiec_p,TL,QS,width,model,symbol,w
1833,16,0.00872885979268958,0.576101581921255,Green,0.0003966366839663902,0.03019805989187073,Lag-Llama,FTSE100,250
1185,9,0.007594936708860759,0.3848792824820566,Green,0.0006001704942974717,0.05035618403379603,Lag-Llama,ICLN,250
1772,14,0.007900677200902935,0.35653605517343545,Green,0.000475463857304574,0.041038265104036534,Lag-Llama,NIKKEI,250
1784,14,0.007847533632286996,0.34236895927511957,Green,0.0006077179285214547,0.047012724468095964,Lag-Llama,HSI,250
1794,17,0.00947603121516165,0.821963732687937,Green,0.000530098422090017,0.043881231673410785,Lag-Llama,BOVESPA,250
1208,10,0.008278145695364239,0.5353143124258748,Green,0.000323270224947534,0.028276823196460375,Lag-Llama,NIFTY,250
1833,14,0.007637752318603383,0.2888797001949369,Green,0.0004031566785555561,0.03441288608901669,Lag-Llama,ASX200,250
976,6,0.006147540983606557,0.19278339667309285,Green,0.00016851201032367394,0.015696974052773496,Lag-Llama,CBU0,250
1631,12,0.007357449417535254,0.2604107924016992,Green,0.0003253721090162777,0.029264423766131264,Lag-Llama,TLT,250
1226,11,0.00897226753670473,0.7128153915591119,Green,0.0002895163977279015,0.02611051072757697,Lag-Llama,IBGL,250
693,8,0.011544011544011544,0.690099838467448,Green,0.0004013244071261393,0.030738549930360994,Lag-Llama,DJCI,250
1770,24,0.013559322033898305,0.1533952407231467,Green,0.000471843132736354,0.035346959442757724,Lag-Llama,GOLD,250
1772,17,0.009593679458239277,0.862592312679337,Green,0.0012768827831719236,0.09803695390177747,Lag-Llama,WTI,250
1771,18,0.010163749294184076,0.9449320315273775,Green,0.0015704206353455183,0.13218502505077367,Lag-Llama,NATGAS,250
1107,9,0.008130081300813009,0.5181108206355236,Green,0.0010010681503762886,0.08091087957835141,Lag-Llama,BTC,250
762,5,0.006561679790026247,0.30882264594453723,Green,0.0014151961731697766,0.11232364516423854,Lag-Llama,ETH,250
1582,16,0.010113780025284451,0.9637898427042259,Green,0.00019159637880246594,0.015294757713716607,Lag-Llama,EURUSD,250
1585,19,0.011987381703470032,0.44065814911940526,Green,0.00022096526685555748,0.01727219703678924,Lag-Llama,GBPUSD,250
1888,19,0.010063559322033898,0.9778796178160865,Green,0.00023505107763004238,0.018712439965062482,Lag-Llama,USDJPY,250
1395,12,0.008602150537634409,0.5908598572607692,Green,0.00026261294536671976,0.02073428661309681,Lag-Llama,AUDUSD,250
1902,14,0.007360672975814932,0.22483723413109835,Green,0.0004459074122183587,0.038442287428156204,GJR-GARCH,SP500,250
1577,13,0.008243500317057704,0.46967070053242654,Green,0.0003922145555779975,0.033135270837159024,GJR-GARCH,STOXX,250
1922,16,0.008324661810613945,0.4471601382279715,Green,0.0004192428182254234,0.03669365281359837,GJR-GARCH,GDAXI,250
1935,18,0.009302325581395349,0.7549634016568035,Green,0.00041112843390885993,0.03525991603668426,GJR-GARCH,CACT,250
1911,15,0.007849293563579277,0.3261621857347169,Green,0.0003580794028987339,0.029314409217544374,GJR-GARCH,FTSE100,250
1263,15,0.011876484560570071,0.5150702991683449,Green,0.0006519884288929996,0.051600536239193646,GJR-GARCH,ICLN,250
1851,12,0.006482982171799027,0.10411226801222584,Green,0.00046983570538188495,0.04064457203205737,GJR-GARCH,NIKKEI,250
1862,16,0.008592910848549946,0.5317739851882423,Green,0.0005555753706540719,0.0422528836317326,GJR-GARCH,HSI,250
1873,15,0.00800854244527496,0.3695406077945116,Green,0.0004765003905379096,0.040425471505782205,GJR-GARCH,BOVESPA,250
1287,12,0.009324009324009324,0.8052720585730028,Green,0.0003156480527578035,0.0252661046231427,GJR-GARCH,NIFTY,250
1912,14,0.007322175732217573,0.21658366874216273,Green,0.00033837172036022337,0.02911647780711271,GJR-GARCH,ASX200,250
1055,8,0.007582938388625593,0.40983765464045396,Green,0.00014559155768860578,0.0134068499136338,GJR-GARCH,CBU0,250
1709,14,0.008191925102399064,0.43803397837101565,Green,0.00030684328710899934,0.027550912969745833,GJR-GARCH,TLT,250
1305,15,0.011494252873563218,0.5961729460462615,Green,0.0002609159182591836,0.023327416820100894,GJR-GARCH,IBGL,250
772,10,0.012953367875647668,0.4302223849444151,Green,0.00030225941424375007,0.026922172997307422,GJR-GARCH,DJCI,250
