variable,coef,se_ols,se_cluster_asset,se_cluster_model,pval_ols,pval_asset,pval_model
const,-0.0035672533148538767,0.000633469477557928,0.0007539479826070344,0.0015185661952073519,5.043629036457971e-08,2.2294193299806896e-06,0.018819202517666923
qV_stat,0.2705118255455069,0.016426931608636626,0.044190959520823865,0.043769194794207995,3.9209084821996046e-41,9.273978341361329e-10,6.393296511053298e-10
pi_raw,0.00582735491836847,0.0020604186573284383,0.0036132344574829147,0.002991845633733994,0.005081014746841476,0.10679215333805152,0.05144538092128326
