check,variant,mean_qV,green,pihat,ess
Weighted CP,lambda=0.0005,0.037047162545654586,19.0,0.011604242111891894,2780.3870120753686
Weighted CP,lambda=0.002,0.037624832528657635,16.0,0.012872150995550216,991.7138039476994
Weighted CP,lambda=0.01,0.06269283738033361,22.0,0.0062445223219977945,200.0016647565336
Cal. fraction,f_c=0.50,0.039242236934979385,21.0,0.008598036090465727,
Cal. fraction,f_c=0.60,0.03825138331506595,18.0,0.009933137189669039,
Cal. fraction,f_c=0.70,0.03784635328483978,19.0,0.010823411682535575,
Cal. fraction,f_c=0.80,0.03814341497426892,21.0,0.008264353702390656,
Rolling (250d),,0.040812573388145236,,0.00922462296215302,
