DGP,period,mean_qV,std_qV,t_stat,p_val
Student-t(5),Pre-crisis,0.004458520031338744,0.002888972092520085,,
Student-t(5),During crisis,0.012136111191223518,0.00773549705812174,,
Student-t(5),Post-crisis,0.004202198832544532,0.002254612943464761,0.9866931743025539,0.3243925273865864
Skewed-t(3),Pre-crisis,0.008948968740258093,0.003992053904461831,,
Skewed-t(3),During crisis,0.018226011679923923,0.010329297275760454,,
Skewed-t(3),Post-crisis,0.008698920026840062,0.0035186956404294795,0.6628603954887315,0.5078036631715128
