DGP,T,fc,mean_qV,std_qV,mean_corr_pi,green_pct,n_valid
Student-t(5),250,0.4,0.003345127622441645,0.008657270347909776,0.022616666666666667,39.800000000000004,500
Student-t(5),250,0.5,0.003706244212520279,0.008053213540300542,0.020360000000000003,51.800000000000004,500
Student-t(5),250,0.6,0.003968683145054435,0.007460716003616869,0.018975000000000002,61.4,500
Student-t(5),250,0.7,0.00506173494429316,0.007462492216283321,0.016166666666666666,47.4,500
Student-t(5),250,0.8,0.005369930232644812,0.007608282845408571,0.0169,59.0,500
Student-t(5),500,0.4,0.005053602407699779,0.00792432649794809,0.016725,54.400000000000006,500
Student-t(5),500,0.5,0.005397524387342418,0.007809329131251033,0.014410000000000001,66.2,500
Student-t(5),500,0.6,0.005673684605017011,0.007436769360173184,0.014600000000000002,61.0,500
Student-t(5),500,0.7,0.0056756045709536055,0.006912995123271347,0.013399999999999999,58.4,500
Student-t(5),500,0.8,0.005985645699286863,0.0059881125344965645,0.013450000000000004,72.6,500
Student-t(5),1000,0.4,0.005163332115212975,0.006480637348160912,0.013770833333333333,63.2,500
Student-t(5),1000,0.5,0.006022025393938106,0.00695274638219779,0.013455,67.0,500
Student-t(5),1000,0.6,0.0059330748603025705,0.005452579875466797,0.0119125,75.4,500
Student-t(5),1000,0.7,0.0057974214683432146,0.005245825349263408,0.011891666666666665,67.80000000000001,500
Student-t(5),1000,0.8,0.006055633692583163,0.005024288088483345,0.0125625,68.8,500
Skewed-t(3),250,0.4,0.007912440213204093,0.011836937195172184,0.02275,38.6,500
Skewed-t(3),250,0.5,0.007380268818214349,0.01027583514609529,0.02228,46.2,500
Skewed-t(3),250,0.6,0.008841144793006024,0.010058078870730482,0.020650000000000005,55.400000000000006,500
Skewed-t(3),250,0.7,0.009955796448628462,0.008763663280250461,0.01583333333333333,46.800000000000004,500
Skewed-t(3),250,0.8,0.011065631129841843,0.009203679603861648,0.0159,60.199999999999996,500
Skewed-t(3),500,0.4,0.009407430223704657,0.01117962512217209,0.0173,52.0,500
Skewed-t(3),500,0.5,0.009272377089464736,0.009946376814808137,0.015790000000000002,65.8,500
Skewed-t(3),500,0.6,0.010403717294223692,0.009561711716839782,0.0132875,64.4,500
Skewed-t(3),500,0.7,0.010815473498253396,0.007961865068361171,0.013016666666666666,56.8,500
Skewed-t(3),500,0.8,0.010097972998271013,0.0077022144596271365,0.013949999999999999,69.8,500
Skewed-t(3),1000,0.4,0.010095566804939468,0.01087698126350539,0.0141875,61.8,500
Skewed-t(3),1000,0.5,0.009791552514967378,0.007440299965347255,0.012685000000000002,71.6,500
Skewed-t(3),1000,0.6,0.010146766207987757,0.007902774498328857,0.012237499999999998,74.2,500
Skewed-t(3),1000,0.7,0.010848880365680354,0.006727763075396958,0.011425000000000001,70.6,500
Skewed-t(3),1000,0.8,0.010818864998934408,0.006057974945328513,0.0115875,70.6,500
