n_est,max_depth,lr,n_pairs,pi_hat,kup_rej,QS_x1e4,width,green,green_pct
100,3,0.01,9,0.010881897171951961,0,4.625271756536822,0.030678728129181765,9,100.0
100,3,0.05,9,0.015180427189600356,5,4.404042901102063,0.0270258827074177,8,88.88888888888889
100,5,0.01,9,0.011113071190067703,0,4.6538205939193675,0.029600451441704437,9,100.0
100,5,0.05,9,0.013822784265254795,3,4.603773509321154,0.027653785975223322,6,66.66666666666667
500,3,0.01,9,0.01511701287041649,4,4.4204405186754,0.027010515283991714,5,55.55555555555556
500,3,0.05,9,0.015180427189600356,5,4.404042901102063,0.0270258827074177,8,88.88888888888889
500,5,0.01,9,0.014548782137608305,4,4.596477589660412,0.02718720369805743,6,66.66666666666667
500,5,0.05,9,0.013822784265254795,3,4.603773509321154,0.027653785975223322,6,66.66666666666667
