model,n_assets,pihat_raw,pihat_cp,kup_pass_rate,cc_pass_rate,QS_raw,QS_cp,VaR_width,mean_qV,std_qV,green_rate,n_green,n_yellow,n_red,width_vs_gjr
GJR-GARCH,24,0.0041563506911203,0.011214464774859718,0.6666666666666666,0.9583333333333334,0.000504120877334619,0.00048550076032915075,0.039157078033300145,-0.006582213249920463,0.004817677298979864,0.7916666666666666,19,5,0,1.0000000000000002
TimesFM-2.5,24,0.014336685301682814,0.010269779995080745,0.8333333333333334,0.75,0.0005032684404081854,0.0005024160800444066,0.03662268336103241,0.0027795315366622585,0.00271847239703522,0.9166666666666666,22,2,0,0.9352762054892753
Hist-Sim,24,0.01581879708832697,0.010766466372430708,0.875,0.625,0.0005664289534275397,0.0005567003081817587,0.03918242266962846,0.003558822216080851,0.0028600291645649893,0.9166666666666666,22,2,0,1.0006472555563712
Moirai-2.0,24,0.015719591110120164,0.010081210512628539,0.75,1.0,0.0005357251153529584,0.0005242058580581195,0.03864487316939711,0.003900449075181622,0.005265707555095999,0.875,21,3,0,0.9869192266218783
GARCH-N,24,0.019253652973664544,0.010407515015925796,0.75,0.9583333333333334,0.0004887415011830589,0.00047373578075763615,0.03646327196857064,0.005705693448731148,0.007516389492524351,0.875,21,3,0,0.9312051307189311
EWMA,24,0.020750876026377974,0.011429688224235216,0.6666666666666666,0.875,0.0005069836563126901,0.0004852251095486164,0.03656427673906478,0.006089508491426458,0.008169608916320265,0.8333333333333334,20,4,0,0.9337846074206463
Lag-Llama,24,0.029525947709219954,0.00972691859920645,0.875,1.0,0.00060032526679752,0.0005256970616289819,0.04094483151965246,0.010860049188676177,0.008898155835094158,1.0,24,0,0,1.045655947178489
Chronos-Small,24,0.38778887402513523,0.010822637324323661,0.5833333333333334,0.75,0.0037823245498555913,0.0005831340447450087,0.040522524992423314,0.03786832879770954,0.02814004411836591,0.7916666666666666,19,5,0,1.0348710125398521
Chronos-Mini,24,0.41821038090833684,0.010317842882380577,0.5,0.7083333333333334,0.0041109704000915495,0.0005751525288516996,0.04089990969756445,0.03901283715102719,0.029191309538900086,0.7916666666666666,19,5,0,1.04450872618182
