model,N_panel,total_viol,pi_pooled,HAC_SE,p_kupiec,z_cluster,p_cluster
Chronos-Small,36588,386,0.010549907073357385,0.001677923981687662,0.2947384113955366,0.30360562412857545,0.7614283662933059
Chronos-Mini,36588,368,0.010057942494807041,0.0015865857427382311,0.911390769067838,0.033257847683562596,0.9734689678248336
TimesFM-2.5,36588,379,0.01035858751503225,0.0015425527988668125,0.49312759036275255,0.38271161257580993,0.7019336032404233
Moirai-2.0,36588,376,0.010276593418607193,0.001340396649003375,0.5965737109750289,0.29073672653493293,0.7712526805891338
Lag-Llama,36588,360,0.009839291571006888,0.001210745393891646,0.7567311005480164,-0.23857776126895722,0.8114330111532451
GJR-GARCH,38473,442,0.01148857640423154,0.0010282975918439795,0.0041496346362883685,1.1910649903974482,0.23362807236926075
GARCH-N,38473,419,0.010890754555142568,0.0012056128346647121,0.08343661968520533,1.1217833763201293,0.26195455601075857
Hist-Sim,38473,415,0.010786785537909703,0.0017995213621427855,0.12564125916494073,1.0579773232689895,0.2900657809361946
EWMA,38473,458,0.011904452473162998,0.0013487948219350655,0.00026754764881020687,2.106142894517683,0.035191941799183724
