model,N_panel,total_viol,pi_pooled,HAC_SE,p_kupiec,z_cluster,p_cluster
Chronos-Small,36588,386,0.010549907073357385,0.0016808411753620998,0.2947384113955366,0.3031382009810457,0.7617845427686669
Chronos-Mini,36588,367,0.01003061112933202,0.0015682162148496456,0.9530968847781127,0.017440212492427373,0.9860854290970738
TimesFM-2.5,36588,423,0.011561167595933093,0.001765029402656646,0.003405091150160855,0.3462514240007199,0.7291537712616645
Moirai-1.1,36588,394,0.010768557997157539,0.0013483382981407967,0.144470100252292,0.7434612467348884,0.45720247554261384
Moirai-2.0,36588,477,0.013037061331584126,0.0019186667683851546,2.4348489779946192e-08,0.541127610307037,0.5884196286395393
Lag-Llama,36588,351,0.009593309281731716,0.0012589719320114118,0.4311802228536784,-0.5990263998486975,0.5491552799997006
GJR-GARCH,38473,442,0.01148857640423154,0.0010282975918439795,0.0041496346362883685,1.1910649903974482,0.23362807236926075
GARCH-N,38473,419,0.010890754555142568,0.0012056128346647121,0.08343661968520533,1.1217833763201293,0.26195455601075857
Hist-Sim,38473,415,0.010786785537909703,0.0017995213621427855,0.12564125916494073,1.0579773232689895,0.2900657809361946
EWMA,38473,458,0.011904452473162998,0.0013487948219350655,0.00026754764881020687,2.106142894517683,0.035191941799183724
