model,N_panel,total_viol,pi_pooled,HAC_SE,p_kupiec,z_cluster,p_cluster
Chronos-Small,36588,386,0.010549907073357385,0.00157757215394869,0.2947384113955366,0.30360562412857556,0.7614283662933059
Chronos-Mini,36588,368,0.010057942494807041,0.0015322974277220825,0.911390769067838,0.033257847683562596,0.9734689678248336
TimesFM-2.5,36588,379,0.01035858751503225,0.001544435994254285,0.49312759036275255,0.38271161257581005,0.7019336032404233
Moirai-2.0,36588,376,0.010276593418607193,0.001536466806641235,0.5965737109750289,0.2907367265349325,0.7712526805891342
Lag-Llama,36588,360,0.009839291571006888,0.0014929051130194637,0.7567311005480164,-0.2385777612689573,0.8114330111532452
GJR-GARCH,38473,442,0.01148857640423154,0.0016226966437988349,0.0041496346362883685,1.191064990397447,0.2336280723692612
GARCH-N,38473,419,0.010890754555142568,0.0015645992554643253,0.08343661968520533,1.1217833763201304,0.26195455601075823
Hist-Sim,38473,415,0.010786785537909703,0.0015519957527014537,0.12564125916494073,1.0579773232689904,0.2900657809361943
EWMA,38473,458,0.011904452473162998,0.0016530125318191355,0.00026754764881020687,2.106142894517683,0.0351919417991837
