model,symbol,n_test,viol,pi_hat,kupiec_p,TL,QS,width
Chronos-Small,SP500,1822,25,0.013721185510428101,0.1307722542171864,Green,0.00043189199579140783,0.027318902372978935
Chronos-Small,STOXX,1498,25,0.016688918558077435,0.01759685872513206,Yellow,0.00035798767410981987,0.023448561856422415
Chronos-Small,GDAXI,1843,36,0.019533369506239826,0.00027454144235239397,Yellow,0.0004872173557222391,0.02829635862748447
Chronos-Small,CACT,1856,35,0.018857758620689655,0.0006347210331306696,Yellow,0.00046885985549070737,0.027388874818070227
Chronos-Small,FTSE100,1833,40,0.02182214948172395,1.089879794613502e-05,Yellow,0.00043913895335914027,0.020733639948350552
Chronos-Small,ICLN,1185,35,0.029535864978902954,4.384949059410559e-08,Yellow,0.0005902600261956429,0.03358364132047535
Chronos-Small,NIKKEI,1772,10,0.0056433408577878106,0.04465169706485794,Green,0.0005081267165696016,0.0372821235383151
Chronos-Small,HSI,1784,22,0.01233183856502242,0.3395375912110068,Green,0.0005208756974634447,0.034584277404880494
Chronos-Small,BOVESPA,1794,25,0.013935340022296544,0.11382824080797971,Green,0.0005354092338586529,0.0326153548116714
Chronos-Small,NIFTY,1208,9,0.0074503311258278145,0.35094245540487556,Green,0.00031918033127021104,0.023706279601500794
Chronos-Small,ASX200,1833,38,0.020731042007637753,5.4592480076331995e-05,Yellow,0.00041871577637559126,0.021954188337950972
Chronos-Small,CBU0,976,34,0.03483606557377049,1.1801482013851228e-09,Yellow,0.0001891398675452467,0.009816334269771488
Chronos-Small,TLT,1631,44,0.0269773145309626,1.2357839973553553e-08,Yellow,0.0003666607908772575,0.019494026123030674
Chronos-Small,IBGL,1226,19,0.015497553017944535,0.07340520190654054,Green,0.0002455020768564705,0.019125462314573117
Chronos-Small,DJCI,693,25,0.03607503607503607,9.413649815215308e-08,Red,0.00050423705236189,0.01712018427110839
Chronos-Small,GOLD,1770,25,0.014124293785310734,0.10059953092198659,Green,0.00043362800149192093,0.027092994642527454
Chronos-Small,WTI,1772,28,0.01580135440180587,0.023638672526993143,Green,0.0012414597440083498,0.058309837813542695
Chronos-Small,NATGAS,1771,60,0.03387916431394692,2.220446049250313e-15,Yellow,0.0017690482707990866,0.07585606292768739
Chronos-Small,BTC,1107,1,0.0009033423667570009,8.590099648342342e-05,Green,0.0011377371265712693,0.10871510352050819
Chronos-Small,ETH,762,21,0.027559055118110236,6.149438397506923e-05,Yellow,0.001509835589482131,0.08332356670761491
Chronos-Small,EURUSD,1582,24,0.015170670037926675,0.05479926437647231,Green,0.00015850707456458953,0.010724646418454841
Chronos-Small,GBPUSD,1585,24,0.015141955835962145,0.05583905747170492,Green,0.00019980501974982748,0.013079982426592493
Chronos-Small,USDJPY,1888,23,0.012182203389830509,0.3568136625453092,Green,0.0002062477087625845,0.01384874840432692
Chronos-Small,AUDUSD,1395,17,0.012186379928315413,0.42746860716224266,Green,0.00021553079939950099,0.014869861312251521
Chronos-Mini,SP500,1823,30,0.016456390565002744,0.011254681746260209,Yellow,0.0004460580756124614,0.02627524401643512
Chronos-Mini,STOXX,1498,22,0.014686248331108143,0.0883793753191432,Green,0.0003485985205338877,0.024137191883762368
Chronos-Mini,GDAXI,1843,36,0.019533369506239826,0.00027454144235239397,Yellow,0.00047217734071837604,0.027713101940880388
Chronos-Mini,CACT,1856,31,0.01670258620689655,0.008109740222395745,Yellow,0.00048210602639948985,0.025829952873252012
Chronos-Mini,FTSE100,1833,32,0.01745771958537916,0.0037033402162591766,Yellow,0.00041736721128669515,0.023051873432429818
Chronos-Mini,ICLN,1185,30,0.02531645569620253,8.991972384020386e-06,Yellow,0.0005685974604380349,0.033691526663874136
Chronos-Mini,NIKKEI,1772,12,0.006772009029345372,0.14693978931159457,Green,0.0005294749796810568,0.03884223317541833
Chronos-Mini,HSI,1784,22,0.01233183856502242,0.3395375912110068,Green,0.0005139715488905813,0.034428399939601194
Chronos-Mini,BOVESPA,1794,26,0.014492753623188406,0.07310256897850276,Green,0.0005585829488766069,0.03139640338658224
Chronos-Mini,NIFTY,1208,9,0.0074503311258278145,0.35094245540487556,Green,0.00032304092029743225,0.024340941075178122
Chronos-Mini,ASX200,1833,38,0.020731042007637753,5.4592480076331995e-05,Yellow,0.0004122158074454606,0.021750080922812238
Chronos-Mini,CBU0,976,33,0.03381147540983607,4.293932764909414e-09,Yellow,0.0001963586906562544,0.009217543817941879
Chronos-Mini,TLT,1631,42,0.02575107296137339,9.438926662497238e-08,Yellow,0.00032988053343725634,0.019378622595464096
Chronos-Mini,IBGL,1226,16,0.013050570962479609,0.30517715374895826,Green,0.00024801758624958144,0.019864769881229417
Chronos-Mini,DJCI,693,23,0.03318903318903319,1.300439129714448e-06,Yellow,0.0004683700926739093,0.018516152591559493
Chronos-Mini,GOLD,1770,29,0.01638418079096045,0.013446202006594854,Yellow,0.00043864942422362145,0.02525482091992291
Chronos-Mini,WTI,1771,31,0.017504234895539244,0.00411541839354268,Yellow,0.0012309179863243618,0.05581534284317027
Chronos-Mini,NATGAS,1771,67,0.0378317334839074,0.0,Red,0.0018090487551811853,0.07326924176304517
Chronos-Mini,BTC,1107,1,0.0009033423667570009,8.590099648342342e-05,Green,0.001151551464620912,0.11021499851659201
Chronos-Mini,ETH,762,24,0.031496062992125984,1.9258976114988613e-06,Yellow,0.0014587405109122169,0.08119291046665487
Chronos-Mini,EURUSD,1582,23,0.014538558786346398,0.08929417443617493,Green,0.00015708356514721486,0.011020522993125082
Chronos-Mini,GBPUSD,1585,14,0.008832807570977918,0.6337277510884023,Green,0.0001902912539026494,0.01407515257191434
Chronos-Mini,USDJPY,1888,24,0.012711864406779662,0.25574042597286895,Green,0.0002113127845244205,0.013758421384027665
Chronos-Mini,AUDUSD,1395,18,0.012903225806451613,0.2969126723644476,Green,0.00021740038733195668,0.014661398843144761
TimesFM-2.5,SP500,1824,24,0.013157894736842105,0.19607628987637782,Green,0.0004520082815100468,0.028009672122092037
TimesFM-2.5,STOXX,1498,25,0.016688918558077435,0.01759685872513206,Yellow,0.00036038233545592114,0.024440381153342915
TimesFM-2.5,GDAXI,1843,38,0.020618556701030927,6.121312780704713e-05,Yellow,0.00046511416515366877,0.02785896125291734
TimesFM-2.5,CACT,1856,30,0.016163793103448277,0.014284054061064255,Yellow,0.0004565623076028483,0.027891247310935872
TimesFM-2.5,FTSE100,1833,37,0.020185488270594652,0.00011772510161989214,Yellow,0.00041074340918347663,0.022232963399948652
TimesFM-2.5,ICLN,1185,21,0.017721518987341773,0.01599227057791308,Yellow,0.0005309649154422073,0.03636909622668813
TimesFM-2.5,NIKKEI,1772,11,0.006207674943566591,0.08450066714993021,Green,0.0005219205561822752,0.03870733341147933
TimesFM-2.5,HSI,1784,19,0.010650224215246636,0.7847470593842124,Green,0.0005145462649006517,0.03481243226453826
TimesFM-2.5,BOVESPA,1794,23,0.01282051282051282,0.24993764678860186,Green,0.0005471498605711224,0.033818851011290896
TimesFM-2.5,NIFTY,1208,9,0.0074503311258278145,0.35094245540487556,Green,0.00032394689674773426,0.024337950062822668
TimesFM-2.5,ASX200,1833,35,0.019094380796508457,0.0005068656566104002,Yellow,0.00038403307244096624,0.02194085263248704
TimesFM-2.5,CBU0,976,32,0.03278688524590164,1.51633725575806e-08,Yellow,0.0001934916601692938,0.008749930553536497
TimesFM-2.5,TLT,1631,36,0.022072348252605765,2.369675739799515e-05,Yellow,0.0003450578570487218,0.020162908899238257
TimesFM-2.5,IBGL,1226,25,0.020391517128874388,0.001344150765951957,Yellow,0.0002612031049907942,0.01855967679859365
