t_obs,p_asymp,p_boot,d_bar,se,model_ref,model_tsfm
-3.6425470964785114,0.001360439762670973,0.001,-9.808372074523386e-05,2.6927234747371642e-05,GJR-GARCH,Chronos-Small
-3.7555785326151665,0.0010301604264655317,0.001,-9.010220163791378e-05,2.3991563711269762e-05,GJR-GARCH,Chronos-Mini
-1.5631442370180475,0.1316745172285978,0.131,-1.7365756216930486e-05,1.1109503400696085e-05,GJR-GARCH,TimesFM-2.5
-2.2782379790089515,0.032322872905692135,0.037,-3.915553423064348e-05,1.7186762134338747e-05,GJR-GARCH,Moirai-2.0
-3.978007540024294,0.0005941107036555593,0.001,-4.064673780150583e-05,1.0217863438553863e-05,GJR-GARCH,Lag-Llama
-4.076294525592382,0.00046538194457657056,0.001,-0.00011038078702979637,2.7078707472383984e-05,GARCH-N,Chronos-Small
-4.238613778964672,0.00031065739746516385,0.001,-0.00010239926792247627,2.4158669145714998e-05,GARCH-N,Chronos-Mini
-3.9560335059627385,0.0006274050782171248,0.001,-2.966282250149298e-05,7.498122161195965e-06,GARCH-N,TimesFM-2.5
-3.3784231702314864,0.0025903972914878004,0.001,-5.145260051520596e-05,1.5229767830322001e-05,GARCH-N,Moirai-2.0
-6.535727741397988,1.1419266696677255e-06,0.001,-5.294380408606832e-05,8.100674657959922e-06,GARCH-N,Lag-Llama
-1.952117525350265,0.06320259843858844,0.056,-2.9408066228018658e-05,1.506470068841886e-05,Hist-Sim,Chronos-Small
-1.469468596619448,0.15525259606871478,0.186,-2.1426547120698564e-05,1.4581153465947425e-05,Hist-Sim,Chronos-Mini
4.003887631800207,0.0005571370063834902,0.001,5.130989830028474e-05,1.2815019555684949e-05,Hist-Sim,TimesFM-2.5
2.630257763329035,0.014959221001197065,0.008,2.9520120286571738e-05,1.1223280356070139e-05,Hist-Sim,Moirai-2.0
1.887809329622349,0.07173248395040566,0.079,2.802891671570939e-05,1.4847323972763974e-05,Hist-Sim,Lag-Llama
-3.819377472895988,0.0008800518063118989,0.001,-0.00010032134433826911,2.6266412537172424e-05,EWMA,Chronos-Small
-3.931831205561611,0.0006662164948434413,0.001,-9.2339825230949e-05,2.3485195676847338e-05,EWMA,Chronos-Mini
-2.7101212489719244,0.01248862119815497,0.004,-1.960337980996572e-05,7.23339585540765e-06,EWMA,TimesFM-2.5
-2.8304593072436335,0.009481476578254933,0.002,-4.139315782367871e-05,1.4624184038875415e-05,EWMA,Moirai-2.0
-5.51584538355607,1.309602194554671e-05,0.001,-4.288436139454106e-05,7.774757704845866e-06,EWMA,Lag-Llama
