,Chronos-Small,Chronos-Mini,TimesFM-2.5,Moirai-2.0,Lag-Llama
GJR-GARCH,0.009555177436641582,0.005498423850441414,0.26548671698267134,0.05238389202180338,0.012221012042463064
GARCH-N,0.0007094061769368221,0.00011577547096330854,0.0252765263728989,0.004326700254754456,0.00044449041393890276
Hist-Sim,0.060725145947904346,0.13922855982187277,3.479247477189418e-05,0.05830949802052143,0.14385823772076467
EWMA,0.0005096395195287595,5.401828331086378e-05,0.041944464189678454,0.0063819848228050535,0.0044293961073447186
