symbol,method,n_test,pi_hat,p_kupiec,kup_pass,QS,width,green,viol_250,garch_fails,gpd_fails,fallback_pct
SP500,EVT-POT,1977,0.01669195751138088,0.006364126890447297,False,0.0005387582678104214,0.033640859155429345,False,4.172989377845219,1977,814,41.17349519473951
SP500,FHS,1977,0.01669195751138088,0.006364126890447297,False,0.0005464897573505924,0.03292477835717865,False,4.172989377845219,1977,0,100.0
STOXX,EVT-POT,1652,0.01513317191283293,0.05127560626645844,True,0.0005015990808964341,0.029165707688299278,True,3.7832929782082325,1652,679,41.10169491525424
STOXX,FHS,1652,0.014527845036319613,0.08319251483136503,True,0.0005098044194141712,0.02906690231626451,True,3.6319612590799033,1652,0,100.0
GDAXI,EVT-POT,1997,0.015022533800701052,0.03575094088929376,False,0.0005042739256619341,0.03216655132994792,True,3.755633450175263,1997,807,40.41061592388583
GDAXI,FHS,1997,0.015523284927391086,0.021739336737269577,False,0.0005160723090585107,0.03194722411047791,True,3.8808212318477713,1997,0,100.0
FCHI,EVT-POT,2010,0.015920398009950248,0.01404613025077961,False,0.000525526372321354,0.031848932364019256,True,3.980099502487562,2010,308,15.323383084577113
FCHI,FHS,2010,0.017412935323383085,0.002506523851687592,False,0.0005316000594413758,0.03128316101351036,False,4.353233830845771,2010,0,100.0
FTSE100,EVT-POT,1986,0.01460221550855992,0.053742831617556885,True,0.0004369288237751723,0.026268245449363632,True,3.65055387713998,1986,801,40.33232628398791
FTSE100,FHS,1986,0.017119838872104734,0.0037888618454782197,False,0.00045059090199254484,0.025789861531935306,False,4.279959718026183,1986,0,100.0
ICLN,EVT-POT,1338,0.008221225710014948,0.49986337319473195,True,0.0005827999875569386,0.0483932807715075,True,2.055306427503737,1338,707,52.84005979073244
ICLN,FHS,1338,0.008221225710014948,0.49986337319473195,True,0.0005912985410800207,0.048291439233758976,True,2.055306427503737,1338,0,100.0
NIKKEI,EVT-POT,1926,0.014537902388369679,0.06085703174332391,True,0.0005372756433151445,0.03469619876212048,True,3.6344755970924196,1926,938,48.701973001038425
NIKKEI,FHS,1926,0.01557632398753894,0.022971921998990008,False,0.0005394369556289321,0.034120367034802195,True,3.8940809968847354,1926,0,100.0
HSI,EVT-POT,1937,0.011874032008260196,0.4207434310214586,True,0.0005416055137410956,0.03455369081565747,True,2.968508002065049,1937,765,39.49406298399587
HSI,FHS,1937,0.013422818791946308,0.15019747715720144,True,0.0005398769841960355,0.03354041566349195,True,3.3557046979865772,1937,0,100.0
BOVESPA,EVT-POT,1948,0.013347022587268994,0.1578298609819785,True,0.0006455215350242434,0.03964883582359481,True,3.3367556468172483,1948,589,30.236139630390145
BOVESPA,FHS,1948,0.013347022587268994,0.1578298609819785,True,0.0006675529149791916,0.040286335660437086,True,3.3367556468172483,1948,0,100.0
NIFTY,EVT-POT,1362,0.009544787077826725,0.8649025908836049,True,0.0003641245995995619,0.027835602726376026,True,2.3861967694566815,1362,454,33.33333333333333
NIFTY,FHS,1362,0.012481644640234948,0.37549553559505455,True,0.00036112941439849454,0.026876904946641116,True,3.120411160058737,1362,0,100.0
ASX200,EVT-POT,1987,0.01509813789632612,0.033668980698838724,False,0.0004376513109684358,0.028051479869122296,True,3.77453447408153,1987,474,23.855057876195268
ASX200,FHS,1987,0.017111222949169603,0.0038190578593098046,False,0.00044642799019613456,0.027232719910283008,False,4.2778057372924,1987,0,100.0
CBU0,EVT-POT,1130,0.01504424778761062,0.11276383387726396,True,0.00014983359785885822,0.01160759167207859,True,3.7610619469026547,1130,266,23.53982300884956
CBU0,FHS,1130,0.017699115044247787,0.018961997187403434,False,0.00015128462463346806,0.011452811955917758,False,4.424778761061947,1130,0,100.0
TLT,EVT-POT,1784,0.013452914798206279,0.16379632506176645,True,0.00036984001902079424,0.02557614004477731,True,3.36322869955157,1784,870,48.76681614349776
TLT,FHS,1784,0.014573991031390135,0.06912249049056607,True,0.0003729547847214772,0.02528437030748768,True,3.6434977578475336,1784,0,100.0
IBGL,EVT-POT,1380,0.013043478260869565,0.2777148033618061,True,0.0002405179090605252,0.020115473239526685,True,3.260869565217391,1380,517,37.46376811594203
IBGL,FHS,1380,0.013768115942028985,0.18324699453198545,True,0.00024140707386860125,0.019887399964600677,True,3.442028985507246,1380,0,100.0
DJCI,EVT-POT,847,0.018890200708382526,0.020583869411743727,False,0.0003902260450350379,0.024259752470373604,False,4.7225501770956315,847,309,36.481700118063756
DJCI,FHS,847,0.020070838252656435,0.009564367745866886,False,0.00039348653632255973,0.02407124661107487,False,5.017709563164108,847,0,100.0
GOLD,EVT-POT,1923,0.015600624024960999,0.022527294271961762,False,0.0004331995295341104,0.026471454781454296,True,3.9001560062402496,1923,808,42.01768070722829
GOLD,FHS,1923,0.01612064482579303,0.013224044332899476,False,0.00043955015437338076,0.026267604329595438,False,4.030161206448258,1923,0,100.0
WTI,EVT-POT,1925,0.012987012987012988,0.20795525477684573,True,0.0013678164228732102,0.08001934080717053,True,3.246753246753247,1925,870,45.19480519480519
WTI,FHS,1925,0.014545454545454545,0.060520274718701916,True,0.0013899522238008607,0.0788476062031483,True,3.6363636363636362,1925,0,100.0
NATGAS,EVT-POT,1925,0.017662337662337664,0.002296271296705954,False,0.0016763045910637418,0.10751311247439693,False,4.415584415584416,1925,705,36.62337662337662
NATGAS,FHS,1925,0.01922077922077922,0.00030852023076077817,False,0.0017215996463803924,0.10231803259942067,False,4.805194805194805,1925,0,100.0
BTC,EVT-POT,1260,0.011111111111111112,0.696948046133079,True,0.0009422351648343346,0.07019969329571388,True,2.7777777777777777,1260,127,10.079365079365079
BTC,FHS,1260,0.013492063492063493,0.23687421985467116,True,0.0009472275794002153,0.06770975579123142,True,3.373015873015873,1260,0,100.0
ETH,EVT-POT,915,0.017486338797814208,0.03960689510997195,False,0.0012420979799551296,0.08767834310883141,False,4.371584699453552,915,149,16.28415300546448
ETH,FHS,915,0.02185792349726776,0.0018330633071967917,False,0.0012744693106924608,0.08249364929204211,False,5.46448087431694,915,0,100.0
EURUSD,EVT-POT,1735,0.01440922190201729,0.08335255871703362,True,0.00015539327174625043,0.010892945155402666,True,3.6023054755043225,1735,829,47.78097982708934
EURUSD,FHS,1735,0.01440922190201729,0.08335255871703362,True,0.00015571355951515684,0.010792248346085123,True,3.6023054755043225,1735,0,100.0
GBPUSD,EVT-POT,1739,0.016101207590569294,0.018812766032570205,False,0.00019735154225967015,0.013747606402242528,False,4.025301897642324,1739,854,49.10868315123634
GBPUSD,FHS,1739,0.017826336975273145,0.0031308975356904023,False,0.00019473876059014945,0.013168341980684088,False,4.456584243818286,1739,0,100.0
USDJPY,EVT-POT,2041,0.016658500734933857,0.005790318983465048,False,0.00021747851213120423,0.014089544288348814,False,4.164625183733464,2041,529,25.918667319941207
USDJPY,FHS,2041,0.018618324350808426,0.00047477408084184436,False,0.00021888771482756386,0.013596972538528635,False,4.654581087702106,2041,0,100.0
AUDUSD,EVT-POT,1548,0.010981912144702842,0.7022902974811516,True,0.00022521785881538005,0.016323788941346024,True,2.7454780361757103,1548,524,33.850129198966414
AUDUSD,FHS,1548,0.010981912144702842,0.7022902974811516,True,0.0002233907850987484,0.015719335276363697,True,2.7454780361757103,1548,0,100.0
