method,pi_hat,kup_pass,QS,width,green_pct,n_green
EVT-POT,0.01430927053841754,14/24,5.509823960357909,0.03644850714321255,75.0,18
FHS,0.015609201731718177,11/24,5.5937262508171,0.03554039520729006,54.166666666666664,13
