model,raw_fz,corr_fz,improvement_pct
Chronos-Small,34868675.116757326,-2.962940095722054,100.00000849742668
Chronos-Mini,46988706.48914819,-2.985031516377255,100.00000635265735
TimesFM-2.5,107.90542615026901,-2.3002497391762007,102.13172758891001
Moirai-2.0,95.58552038562011,-2.2642963455039014,102.3688696115992
Lag-Llama,-2.4923490579962295,-3.1042406828841855,24.550799693358268
GJR-GARCH,-3.1816790410902285,-3.2499542625766877,2.145886514783848
GARCH-N,-3.1718330966815995,-3.2611680937694083,2.816510023218809
Hist-Sim,-2.929156898974408,-3.063968894453781,4.602416331012337
EWMA,-3.104302776999224,-3.234148953736422,4.182780677814996
